,Идентификатор Scopus,Автор,Публикаций Scopus за 2020,Высокорейтинговых публикаций за 2020,Цитирований за 2020,Публикаций Scopus за 2021,Высокорейтинговых публикаций за 2021,Цитирований за 2021,Публикаций Scopus за 2022,Высокорейтинговых публикаций за 2022,Цитирований за 2022,Публикаций Scopus за 2020-2022,Высокорейтинговых публикаций за 2020-2022,Цитирований за 2020 - 2022,Цветков П.С. был процитирован,Бабырь Н.В. был процитирован
360,57195485588,Tarabarinova T.A.,0,0,0,1,0,0,0,0,3,1,0,3,0,0
361,57195503514,Borisov S.V.,0,0,0,2,1,0,0,0,3,2,1,3,0,0
362,57195542646,Mikeshin M.I.,1,0,0,2,2,0,2,0,6,5,2,6,1,0
363,57195576243,Kazantsev A.,1,0,0,0,0,0,0,0,0,1,0,0,0,0
364,57195607697,Sibirev V.N.,2,0,0,0,0,0,0,0,0,2,0,0,0,0
365,57195608263,Safina A.M.,0,0,0,1,0,0,0,0,2,1,0,2,0,0
366,57196008021,Morozov K.V.,1,0,0,0,0,0,1,1,0,2,1,0,0,0
367,57196052844,Vasilenko N.,2,1,3,0,0,11,0,0,1,2,1,15,0,0
368,57196220530,Kireeva V.I.,0,0,0,1,0,0,0,0,1,1,0,1,0,0
369,57196221055,Volohov E.,1,0,0,1,1,0,0,0,0,2,1,0,0,0
370,57196234473,Goman I.V.,0,0,0,0,0,0,1,1,0,1,1,0,0,0
371,57196236980,Tsvetkova A.,3,1,0,2,1,8,1,1,22,6,3,30,2,0
372,57196247045,Makhova L.,2,1,2,2,1,9,0,0,4,4,2,15,0,0
373,57196257394,Afanasev P.,3,1,0,1,1,8,0,0,5,4,2,13,0,0
374,57196257503,Babkin R.,0,0,0,1,1,0,0,0,2,1,1,2,0,0
375,57196257682,Alekseeva L.B.,1,0,0,1,0,0,0,0,0,2,0,0,0,0
376,57196257917,Dolzhikov V.V.,1,0,0,1,1,0,2,1,2,4,2,2,0,0
377,57196258182,Romanova V.S.,0,0,0,1,0,0,0,0,1,1,0,1,0,0
378,57196258620,Zimin R.Y.,1,0,0,1,1,5,1,1,14,3,2,19,0,0
379,57196259637,Grudinin N.N.,1,0,0,0,0,2,0,0,0,1,0,2,0,0
380,57196260367,Ershov D.,1,0,0,2,0,1,2,0,1,5,0,2,0,0
381,57196260711,Mikhailov A.,1,0,0,6,2,1,4,1,6,11,3,7,1,0
382,57196260776,Yaroshenko V.V.,1,1,0,1,1,4,0,0,8,2,2,12,0,0
383,57196261139,Gunkin A.,1,0,0,2,0,0,1,0,0,4,0,0,0,0
384,57196262504,Mysin A.V.,2,0,0,1,0,2,2,1,3,5,1,5,0,0
385,57196262665,Malarev V.I.,2,0,3,1,0,4,1,1,3,4,1,10,0,0
386,57196274229,Lange I.Yu.,2,0,1,0,0,6,0,0,6,2,0,13,0,0
387,57196274472,Palaev A.G.,3,0,0,1,0,4,1,1,5,5,1,9,0,1
388,57196274609,Piirainen V.,2,0,0,3,1,3,2,1,4,7,2,7,0,0
389,57196274898,Fetisov V.,1,1,0,2,2,8,3,2,12,6,5,20,8,3
390,57196276422,Alekseev I.V.,1,1,0,0,0,2,0,0,2,1,1,4,0,0
391,57196276566,Dzhabbarov S.N.,2,0,0,0,0,0,0,0,1,2,0,1,0,0
392,57196276810,Vasilyev V.V.,1,1,0,1,1,2,0,0,2,2,2,4,0,0
393,57196276976,Chitalov L.S.,1,1,0,2,1,2,0,0,6,3,2,8,0,0
394,57196279711,Korshunov G.I.,4,1,0,4,2,9,4,1,50,12,4,59,1,1
395,57196280159,Borisova L.G.,1,0,0,0,0,0,0,0,0,1,0,0,0,0
396,57196606898,Aleksandrov A.V.,1,0,0,0,0,1,0,0,0,1,0,1,0,0
397,57196861001,Konovalov G.V.,1,1,0,0,0,0,0,0,0,1,1,0,0,0
398,57197516891,Pavlov V.I.,1,0,0,0,0,0,0,0,0,1,0,0,0,0
399,57197553456,Potapov A.I.,3,1,2,5,0,6,0,0,8,8,1,16,0,0
400,57197670245,Morozov V.,1,0,0,0,0,4,0,0,2,1,0,6,0,0
401,57197719392,Zubkova O.S.,2,1,1,1,1,8,2,1,11,5,3,20,0,0
402,57197766229,Suchkov D.V.,1,0,0,2,1,1,2,2,18,5,3,19,4,0
403,57197816582,Radushinsky D.,1,0,0,0,0,3,0,0,0,1,0,3,0,0
404,57197835370,Kuskildin R.B.,0,0,0,2,0,2,0,0,2,2,0,4,0,0
405,57198431905,Sytko I.I.,1,0,0,1,0,2,0,0,0,2,0,2,0,0
406,57198448214,Pomortseva A.A.,4,0,0,3,0,0,0,0,7,7,0,7,0,0
407,57199170285,Serdiuk N.A.,0,0,0,0,0,0,1,1,0,1,1,0,0,0
408,57199258554,Khokhlov S.V.,0,0,0,2,2,0,1,1,9,3,3,9,0,0
409,57200044309,Lomakina E.S.,1,0,0,0,0,3,0,0,0,1,0,3,0,0
410,57200069192,Dobush I.,0,0,0,3,1,2,1,0,8,4,1,10,1,0
411,57200084003,Bazyrov I.,1,0,0,0,0,0,0,0,1,1,0,1,0,0
412,57200110094,Batyrov A.M.,0,0,0,0,0,0,1,0,0,1,0,0,0,0
413,57200257237,Grudyaeva E.K.,0,0,0,2,0,0,0,0,3,2,0,3,0,0
414,57200447013,Simakov A.S.,0,0,0,1,0,0,0,0,1,1,0,1,0,0
415,57200450221,Hiller O.G.M.,0,0,0,1,1,0,1,1,0,2,2,0,0,0
416,57200727742,Savelev R.,2,1,1,2,1,11,0,0,34,4,2,46,0,0
417,57200729890,Payor V.,2,1,1,2,1,11,1,1,35,5,3,47,0,0
418,57200819161,Ignatovich A.S.,0,0,0,1,1,0,0,0,1,1,1,1,0,0
419,57200941534,Sirenko Y.,1,0,0,2,0,1,0,0,4,3,0,5,0,0
420,57201009108,Vasilyeva N.,3,1,3,3,2,17,3,1,59,9,4,79,0,0
421,57201090688,Zotova I.,1,1,0,1,1,4,0,0,1,2,2,5,0,0
422,57201198059,Palamarchuk R.S.,1,1,0,0,0,2,0,0,2,1,1,4,0,0
423,57201356109,Gromov M.M.,1,0,0,2,0,2,1,0,0,4,0,2,0,0
424,57201356445,Dubrovskaya Y.A.,1,0,0,4,1,1,1,0,1,6,1,2,0,0
425,57201368201,Novikova E.S.,1,0,0,3,0,0,1,0,0,5,0,0,0,0
426,57201392845,Smolin A.V.,1,1,0,0,0,0,0,0,4,1,1,4,0,0
427,57201396593,Nguyen V.S.,0,0,0,1,1,0,0,0,0,1,1,0,0,0
428,57201615009,Lavrik A.Y.,2,1,1,3,2,1,1,1,28,6,4,30,2,0
429,57201717943,Martynov S.A.,0,0,0,1,1,0,2,1,3,3,2,3,0,0
430,57201743613,Pharoe B.L.,4,2,1,2,1,2,0,0,3,6,3,6,0,0
431,57201772648,Vinogradova A.A.,0,0,0,2,0,0,2,1,0,4,1,0,0,0
432,57201778449,Fedorova E.,1,1,0,1,1,9,1,1,25,3,3,34,0,0
433,57201780004,Efimov A.,1,0,0,2,1,5,1,1,5,4,2,10,0,0
434,57202015015,Koshenkova A.,0,0,0,1,1,1,0,0,23,1,1,24,2,0
435,57202061187,Samylovskaya E.,2,1,0,0,0,1,5,2,26,7,3,27,1,0
436,57202188124,Oleynik I.L.,1,0,0,1,1,0,0,0,3,2,1,3,0,0
437,57202204496,Lutskiy D.,2,0,0,2,1,3,1,1,4,5,2,7,0,0
438,57202279758,Kopylova N.,1,0,0,1,0,2,1,0,0,3,0,2,0,0
439,57202291236,Golikov N.S.,1,0,0,0,0,0,2,1,0,3,1,0,0,1
440,57202303975,Shpenst V.A.,1,0,0,7,0,3,2,0,12,10,0,15,0,2
441,57202346922,Kuchin V.N.,2,0,2,1,1,4,0,0,15,3,1,21,1,0
442,57202389409,Sazonova N.N.,1,0,0,0,0,0,1,0,0,2,0,0,0,0
443,57202503248,Starshaia V.V.,2,0,3,3,1,12,1,1,47,6,2,62,4,0
444,57202516330,Krotova S.Y.,2,0,0,0,0,1,1,1,0,3,1,1,0,0
445,57202724679,Petrov P.A.,2,1,0,3,1,7,0,0,21,5,2,28,0,0
446,57202763773,Sankovsky A.A.,0,0,0,0,0,0,1,1,1,1,1,1,0,0
447,57202790867,Kabanov E.I.,2,1,0,2,1,6,4,1,29,8,3,35,0,2
448,57202798891,Kolvakh K.A.,2,1,1,0,0,14,0,0,9,2,1,24,0,0
449,57202923447,Rodionov V.A.,0,0,0,2,2,1,6,2,12,8,4,13,0,0
450,57202961862,Vinogradov K.P.,0,0,0,0,0,0,1,0,0,1,0,0,0,0
451,57202987167,Nefedov Y.V.,5,0,14,5,1,18,2,2,24,12,3,56,2,0
452,57202992416,Blinkova E.Y.,1,0,0,0,0,1,0,0,0,1,0,1,0,0
453,57203001487,Karelina N.V.,1,0,0,0,0,0,0,0,1,1,0,1,0,0
454,57203078609,Noskov V.A.,2,0,1,0,0,0,1,0,0,3,0,1,0,0
455,57203114924,Kulikova N.V.,1,0,0,0,0,0,0,0,0,1,0,0,0,0
456,57203118026,Danilev S.M.,6,1,0,3,1,7,1,1,4,10,3,11,0,0
457,57203210887,Baltyzhakova T.,0,0,0,1,0,0,0,0,0,1,0,0,0,0
458,57203416529,Terleev A.V.,1,0,0,3,0,10,0,0,9,4,0,19,0,0
459,57203749449,Shammazov I.A.,1,0,0,2,0,4,3,0,5,6,0,9,0,0
460,57203859606,Le Quang P.,3,1,0,0,0,4,2,2,6,5,3,10,1,0
461,57203900803,Lapinskas A.,1,1,2,1,0,9,0,0,2,2,1,13,0,0
462,57203946499,Belousov A.E.,1,0,3,0,0,4,1,1,3,2,1,10,0,0
